,ubicacion,support_rate_rodolfo,tasa_aumento_pib,tasa_aumento_desempleo,support_rate_rodolfo_real
0,Amazonas,0.3333333333333333,0.14589333670326593,-0.1383647798742139,0.44
1,Antioquia,0.6090794451450189,0.18912791246899957,-0.17283950617283944,0.66
2,Atlántico,0.5050709939148073,0.17320846020556555,-0.12264150943396217,0.32
3,Cundinamarca,0.5165562913907285,0.0,0.0,0.4
4,Bolívar,0.5258620689655172,0.2039388694175922,-0.02040816326530623,0.38
5,Boyacá,0.5211267605633803,0.16306469192446177,-0.1166666666666667,0.59
6,Caldas,0.5298507462686567,0.17111002458888397,-0.2694610778443114,0.59
7,Caldas,0.5298507462686567,0.17111002458888397,-0.2694610778443114,0.59
8,Casanare,0.5,0.2725229088056498,-0.1383647798742139,0.72
9,Cauca,0.3977272727272727,0.1602708407065434,-0.21323529411764708,0.19
10,Cesar,0.5061728395061729,0.31229623232688697,-0.1383647798742139,0.46
11,Chocó,0.16666666666666666,0.09730568821439423,0.01724137931034492,0.17
12,Córdoba,0.4742857142857143,0.1477659261987602,-0.13157894736842105,0.38
13,Guaviare,0.3,0.13299856634523805,-0.1383647798742139,0.54
14,Huila,0.3253012048192771,0.171660341001048,-0.3741007194244605,0.59
15,La Guajira,0.5,0.7151227361334823,0.21153846153846145,0.34
16,Magdalena,0.4147727272727273,0.17589697084885025,-0.051724137931034454,0.39
17,Meta,0.5915492957746479,0.2549928062004711,-0.10396039603960386,0.63
18,Nariño,0.21052631578947367,0.14813515254266515,-0.13253012048192778,0.18
19,Norte de Santander,0.5380710659898477,0.1664173252561284,-0.13397129186602857,0.79
20,Putumayo,0.390625,0.219547824096713,-0.1383647798742139,0.19
21,Quindío,0.4805194805194805,0.18039622670506614,-0.17452830188679241,0.57
22,Risaralda,0.5639097744360902,0.1673786523147012,-0.1079136690647482,0.52
23,San Andrés y Providencia,0.23076923076923078,0.0,0.0,0.54
24,Santander,0.5525773195876289,0.19451083824059023,-0.2,0.74
25,Sucre,0.42735042735042733,0.1537554261201081,-0.041379310344827565,0.35
26,Tolima,0.32323232323232326,0.17185547615720445,-0.20283018867924532,0.61
27,Valle del Cauca,0.48700173310225303,0.15209207894258298,-0.11518324607329856,0.35
28,Vaupés,0.5,0.12482956622143813,-0.1383647798742139,0.25
